"sku","ean","price","tax","name","image","category","main_color","other_colors","Kurzbeschreibung","Detailierte Beschreibung","Lebenserwartung","description","description_long","fun_fact","scientific_name","Conservation Status","Primary Habitat","Global Home","height","width","depth","No Warning Notice","Functional Description 1"
"147058",4005086147058,499,"0.19","Brillenpinguin","2015_72_RGB_14705.jpg","Meere","rot","blau, schwarz","Mag Gesichtsmalerei","Brillenpinguine sind die einzigen in Afrika lebenden Pinguine.",17,"Brillenpinguine sind eine kleine Pinguinart. Sie werden nicht größer als 70 cm und leben an den südlichen Küsten Afrikas.","Brillenpinguine sind bis zu 70 cm große flugunfähige Vögel, die ihren Namen durch die charakteristische schwarz-weiße Färbung ihres Gefieders tragen. Vom schwarzen Schnabel geht zu den Augen und darum herum ein rosa Fleck, der ihnen den deutschen Namen gab. Brillenpinguine werden bis zu 20 Jahre alt. Sie sind die einzigen Pinguine Afrikas; man findet sie von der afrikanischen Westküste bis zur südafrikanischen Ostküste.","Brillenpinguine sind die einzige Pinguinart Afrikas.","Spheniscus demersus","","","","3,0","3,0","5,0","nicht kennzeichnungspflichtig",""
"147065",4005086147065,599,"0.19","Große Pandabärin","2015_72_RGB_14706.jpg","Wilde Tiere","rot","blau, schwarz","Gefräßige Pflanzenfresser","Pandabären leben in einem kleinen Gebiet in China. Sie sind dort unter Schutz gestellt. Täglich essen sie zwischen 20-30 kg Bambus. Sie ernähren sich allerdings auch von anderen Pflanzen. Pandas sind vornehmlich Einzelgänger",20,"Mit seiner auffällig schwarzweißen Fellfärbung ist der große Panda eines der schönsten Tiere der Welt. Nicht zuletzt wegen seiner starken Gefährdung wurde er zum Wappentier der Naturschutzorganisation WWF.","Der Große Panda bringt bis zu vierzehn Stunden am Tag damit zu, seine bevorzugte Nahrung aufzunehmen: Bambus! Er besitzt eine Art 'Pseudodaumen', den er zum Greifen nach Bambusstängeln einsetzt. Dieser Bär ist normalerweise 1,50 Meter hoch und wiegt 135 Kilo. In freier Wildbahn kann der Panda zwanzig Jahre alt werden, in Gefangenschaft etwa zehn Jahre älter. Pandas leben im Erwachsenenalter allein, aber in den ersten ein oder zwei Jahren ihres Lebens mit der Mutter zusammen, bevor sie ein eigenes Territorium für sich beanspruchen. Da sie in freier Wildbahn vom Aussterben bedroht sind, wird weltweit in verschiedenen Zoos versucht, sie nachzuzüchten. Bisher mit wenig Erfolg.","Pandas produzieren unterschiedlichste Geräusche. Sie meckern oder blöken, bellen und fauchen.","Ailuropoda melanoleuca","EN","forest#temperate,forest#subtropical","asia","5,0","1,0","4,0","nicht kennzeichnungspflichtig",""
"147096",4005086147096,599,"0.19","Weißwedelhirsch","2015_72_RGB_14709.jpg","Wald und Wiese","rot","blau, schwarz","Flüchtende Bewohner Nordamerikas","Weißwedelhirsche sind die vornehmlich in Nordakmerika lebende Art von Hirschen. ",3,"Diese kleinere, weit verbreitete Hirschart Nordamerikas hat ihren Namen von ihrem Schwanz(Wedel), dessen Unterseite immer weiß ist.","Weißwedelhirsche grasen morgens und abends. Als Pflanzenfresser ernähren sie sich von grünen Pflanzen und Nüssen. Hirsche leben in kleinen Gruppen, meist nur eine Mutter und ihre Kälber. Die Männchen haben herrliche Geweihe und leben in kleinen Gruppen von drei oder vier Tieren. Sowohl männliche Hirsche als auch Hirschkühe haben im Sommer rotbraunes und im Winter graubraunes Fell. Da sie kaum noch natürliche Feinde haben, wachsen Hirschpopulationen manchmal so stark an, dass sie nicht mehr genügend Nahrung finden. Hirsche sind Wiederkäuer wie Rinder. Das bedeutet, dass sie vier Mägen haben und halb verdaute Nahrung dann wiederkauen. Dieser komplizierte Vorgang ermöglicht es Hirschen, beispielsweise Zweige zu fressen, die die meisten Tiere nicht verdauen können.","Der Weißwedelhirsch ist das Repräsentationstier von neun Staaten der USA und zwei kanadischen Provinzen.","Odocoileus virginianus","LC","forest#subarctic,forest#temperate,forest#subtropical,savannah#dry,savannah#moist,shrubland#subarctic,shrubland#temperate,shrubland#subtropical,grassland#subarctic,grassland#temperate,grassland#subtropical,wetlands#rivers_permanent,wetlands#bogs,wetlands#flakes_freshwater,desert#hot,desert#temperate,desert#cold","north_south_america","1,5","1,0","4,5","nicht kennzeichnungspflichtig",""
"147119",4005086147119,359,"0.19","Weißwedelkalb","2015_72_RGB_14711.jpg","Wald und Wiese","rot","blau, schwarz","Ein junger Weißwedelhirsch","Weißwedelhirsche sind die vornehmlich in Nordakmerika lebende Art von Hirschen. ",3,"Diese kleinere, weit verbreitete Hirschart Nordamerikas hat ihren Namen von ihrem Schwanz(Wedel), dessen Unterseite immer weiß ist.","Weißwedelhirsche grasen morgens und abends. Als Pflanzenfresser ernähren sie sich von grünen Pflanzen und Nüssen. Hirsche leben in kleinen Gruppen, meist nur eine Mutter und ihre Kälber. Die Männchen haben herrliche Geweihe und leben in kleinen Gruppen von drei oder vier Tieren. Sowohl männliche Hirsche als auch Hirschkühe haben im Sommer rotbraunes und im Winter graubraunes Fell. Da sie kaum noch natürliche Feinde haben, wachsen Hirschpopulationen manchmal so stark an, dass sie nicht mehr genügend Nahrung finden. Hirsche sind Wiederkäuer wie Rinder. Das bedeutet, dass sie vier Mägen haben und halb verdaute Nahrung dann wiederkauen. Dieser komplizierte Vorgang ermöglicht es Hirschen, beispielsweise Zweige zu fressen, die die meisten Tiere nicht verdauen können.","Der Weißwedelhirsch ist das Repräsentationstier von neun Staaten der USA und zwei kanadischen Provinzen.","Odocoileus virginianus","LC","forest#subarctic,forest#temperate,forest#subtropical,savannah#dry,savannah#moist,shrubland#subarctic,shrubland#temperate,shrubland#subtropical,grassland#subarctic,grassland#temperate,grassland#subtropical,wetlands#rivers_permanent,wetlands#bogs,wetlands#flakes_freshwater,desert#hot,desert#temperate,desert#cold","north_south_america","5,0","4,5","2,5","nicht kennzeichnungspflichtig",""
"147133",4005086147133,359,"0.19","Igel","2015_72_RGB_14713.jpg","Wald und Wiese","rot","blau, schwarz","Rund und stachelig","Die bekannteste Art von Igeln ist der Braunbrustigel. Er kommt hauptsächlich in Europa vor. Mit seinen Stacheln verteidigt er sich vor Feinden. Bei einer Gefahr kugelt er sich zusammen.",4,"Igel sind kleine Tiere mit spitzer Schnauze, deren Fell aus über fünftausend Stacheln besteht.","Igel werden taub und blind geboren, und ihre Stacheln wachsen noch bevor sich ihre Sinne entwickeln. Die Stacheln sind bei der Geburt noch weiche Haare, dass sie weder den Igel noch das Muttertier verletzen. Die Hauptverteidigungsmaßnahme eines Igels besteht darin, seine Stacheln, die über winzige individuelle Muskeln gesteuert werden, aufzustellen und sich dann zu einer Kugel zusammenzurollen, wobei die Stacheln in alle Richtungen abstehen. Auf diese Weise bleibt dem Angreifer lediglich eine Zutrittsöffnung, die kleiner als eine Fingerspitze ist. Igel werden etwa 20 Zentimeter lang und einige Jahre alt. Die als Allesfresser bekannten Tiere ernähren sich von Insekten, Amphibien, Vogeleiern, Pilzen, Melonen, Beeren und Schlangen. Dank ihrer Immunität gegen Schlangengift, die sie einem zusätzlichen Protein in ihrem Körper verdanken, können Stacheligel sogar giftige Schlangen jagen","Bei Gefahr rollen sich Igel zu einer stacheligen Kugel zusammen und sind so perfekt geschützt.","Erinaceus europaeus","LC","forest#temperate,grassland#temperate,","europe","2,0","4,0","5,0","nicht kennzeichnungspflichtig",""
"147188",4005086147188,359,"0.19","Gibbon Junges","2015_72_RGB_14718.jpg","Wilde Tiere","rot","blau, schwarz","Kleiner Menschenaffe","Gibbons gehören zu den Menschenaffen und kommt aus Südostasien. Vor rund 1000 Jahren war er noch weiter verbreitet, als er das heute ist.",25,"Gibbons sind baumbewohnende Affen aus den Regenwäldern Südostasiens. Mit ihren langen Armen hangeln sie sich geschickt von Ast zu Ast. Nur sehr selten wagen sich die schwanzlosen Primaten auf den Waldboden herunter. Ihre Heimat sind die hohen Wipfel der Bäume.","Gibbons sind baumbewohnende Affen der südostasiatischen Dschungel. Mit ihren auffällig langen Armen und den nahe am Handgelenk ansetzenden Daumen haben sie die Fortbewegung des ""Schwinghangelns"" perfektioniert. Mit dieser im Tierreich einmaligen Fortbewegungsart können die schwanzlosen Primaten unglaublich schnell und geschickt von Ast zu Ast schwingen. Dabei werden enorme Distanzen überwunden. Hat sich ein Gibbonpäärchen erst einmal gefunden, bleiben die Partner ein Leben lang zusammen, dabei bleiben Familienverbände ihrem Revier treu und verteidigen es gegen Eindringlinge. Gibbons ernähren sich hauptsächlich von pflanzlicher Kost, nur selten ergänzen Kleintiere den Speiseplan.","Einige Gibbonarten haben einen Kehlsack mit dem sie unglaublich laut brüllen. Einfach affenlaut!","Hylobates lar","EN","forest#subtropical","asia","3,5","4,0","3,0","nicht kennzeichnungspflichtig",""
"147225",4005086147225,359,"0.19","Streifenhörnchen","2015_72_RGB_14722.jpg","Wald und Wiese","rot","blau, schwarz","Mag lieber Chipmunk genannt werden","Die meisten Streifenhörnchen sind in Nordamerika heimisch. Allerdings gibt es auch in Eurasien eine Art von Streifenhörnchen. Sie buddeln bis zu 3,50 m lange Tunnel",3,"Streifenhörnchen sind kleine Nagetiere, die ihren Namen der charakteristischen gestreiften Fellzeichnung verdanken. Ihr Hauptverbreitungsgebiet ist Nordamerika. Streifenhörnchen wohnen am Waldboden, wo sie lange Tunnelsysteme anlegen. Im Winter halten sie ausgedehnte Winterruhe und leben von ihren gesammelten Wintervorräten. ","Streifenhörnchen sind eine Gattung der Hörnchen. Ihren Namen verdanken sie ihrer charakteristischen gestreiften Fellzeichnung. Unter dem Sammelbegriff Streifenhörnchen werden circa 35 verschiedene Arten zusammengefasst, deren Hauptverbreitungsgebiet Nordamerika ist. Streifenhörnchen sind Waldbewohner. Sie legen ausgedehnte Tunnelsysteme an, die die verschiedenen Räume und Eingänge miteinander verbinden. So gibt es neben Schlafräumen auch Vorratsräume, in denen die tagaktiven Tiere Vorräte anlegen. Im Winter halten die kleinen Nager Winterruhe, die sie jedoch bei milderen Temperaturen mehrmals unterbrechen.","Streifenhörnchen sind sehr reinlich. Essensreste und Exkremente schaffen sie sofort aus ihrer Höhle.","Tamias striatus","LC","forest#boreal,forest#temperate,shrubland#temperate","north_america_europe_asia","2,0","5,0","4,5","nicht kennzeichnungspflichtig",""
"147232",4005086147232,499,"0.19","Totenkopfäffchen","2015_72_RGB_14723.jpg","Wilde Tiere","rot","blau, schwarz","Kann extrem gut balancieren","Totenkopfäffchen wiegen etwa 1 kg. Sie leben vornehmlich in Südamerika. Die Nahrung besteht aus Insekten und Früchten",20,"Totenkopfäffchen sind kleine Affen aus dem Dschungel des Amazonas. Der Name kommt von der Fellzeichnung ihrer Gesichter. Totenkopfäffchen sind sehr geschickte Kletterer.","Totenkopfäffchen sind eine kleine Affenart, die in den Wäldern des Amazonasbeckens verbreitet ist. Ihren Namen verdanken sie der maskenartigen Gesichtszeichnung und der schwarzen Schnauze. Der Körper ist mit dichtem, kurzen Fell bedeckt, das zwischen Grau- und Grüntönen variiert. Die Hände erscheinen häufig gelb-orange, während der Bauch oft weiß ist. Totenkopfäffchen sind wegen ihres langen Schwanzes geschickte Kletterer, die sich vornehmlich von Insekten und Früchten ernähren. Ein Verband von Totenkopfäffchen kann bis zu hundert Tieren umfassen, an deren Spitze immer das ranghöchste Weibchen steht. ","Der lange Schwanz der Totenkopfäffchen dient nur bei Jungtieren zum greifen. ","Saimiri ","LC","forest#subtropical","south_america","2,5","6,5","2,5","nicht kennzeichnungspflichtig",""
"147256",4005086147256,359,"0.19","Seepferdchen","2015_72_RGB_14725.jpg","Meere","rot","blau, schwarz","Haben nichts mit Pferden zu tun","Seepferdchen sind Fische, deren Kopfform an die eines Pferdes erinnert. Sie kommen vor allem in der Nähe Australiens und Neuseelands vor.",4,"Seepferdchen gehören tatsächlich zu den Fischen, genauer gesagt zu den Fetzenfischen. Sie leben vor allem in tropischen Meeren.","Obwohl es den Seepferdchen kaum anzusehen ist, zählen sie dennoch zu den Fischen. Genauer gesagt zu den Fetzenfischen. Seepferdchen leben in tropischen und gemäßigten Meerren, vor allem vor Südaustralien und Neuseeland. Mit ihrem Wickelschwanz können sie sich an Seegras oder Artgenossen festhalten. Seepferdchen bewegen sich mithilfe ihrer durchsichtigen Rückenflosse nur sehr langsam fort. Die winzigen Brustflossen dienen zum Steuern.","Bei den Seepferdchen brüten die Männchen die Eier aus. Bei der Geburt werden die jungen Seepferdchen aus der Bruttasche des Männchens regelrecht herausgeschossen.","Hippocampus ","DD","sea#pelagic","india_ocean_east_atlantic_mediterranean_sea_west_atlantic","6,0","2,5","3,5","nicht kennzeichnungspflichtig",""
"147355",4005086147355,599,"0.19","Hyäne","2015_72_RGB_14735_v15_TP.jpg","Wilde Tiere","rot","blau, schwarz","Sehen ziemlich fies aus","Tüpfelhyänen ist die am häufigsten vorkommende Art an Hyänen. Die größte Bedrohung für Hyänen ist die Jagd durch den Menschen.",12,"Tüpfelhyänen sind zwar nicht die schönsten, wohl aber die erfolgreichsten Raubtiere der afrikanischen Savanne. Sie leben in Gruppen von bis zu achzig Tieren zusammen und jagen in der Dämmerung.","Tüpfelhyänen sehen auf den ersten Blick aus, wie zu groß geratene Hunde. Auffällig sind ihre langen Hälse, kräftigen Schädel, die braunen Flecken auf gelblich-braunem Fell und die abfallende Rückenlinie. Dadurch wirken Hyänen immer so, als duckten sie sich. Ihr Aussehen verhalf diesen Raubtieren zu ihrem schlechten Ruf. Auf menschliche Beobachter wirken sie nicht selten bedrohlich und hinterlistig. Tatsächlich sind Tüpfelhyänendie erfolgreichsten  Jäger der afrikanischen Savannen. In der Dämmerung machen sie Jagd auf größere Huftiere, verschmähen aber auch Kleintiere, wie Insekten oder Reptilien nicht. Manchmal nehmen sie auch anderen Raubtieren, wie Löwen oder Leoparden deren Beute ab. Hyänen fressen ihre Beutetiere komplett auf, da sie sogar ihre Knochen verdauen können. Lediglich Haare werden wieder ausgewürgt. Hyänenie leben in Rudeln von bis zu 80 Tieren, an deren Spitze immer das dominante Weibchen steht.","Hyänen können sogar Knochen zerbeißen und verdauen.","Crocuta crocuta","Nicht gefährdet [LC]","Halbwüste, Savanne, Gebirgswälder, Wälder, Hochland","Afrika","5,2","3,1","8,6","nicht kennzeichnungspflichtig",""
